Time,USER,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr,Command
1650892743,postgres,893,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,222268,4400,0.01,132,20,0.00,0.07,0.00,0,0.15,0.00,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650892743,postgres,894,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,222828,1312,0.00,132,20,0.00,0.33,0.00,0,0.80,0.00,1,6,"sadc 60 7 -Z -S XALL /tmp/3-tier/client/sodium/sar_raw.out"
1650892803,postgres,848,12.32,20.77,0.00,0.00,33.08,1,0.00,0.00,1007220,8540,0.01,132,8,0.00,1.27,0.00,0,0.00,0.00,22,25,"dbt2-client -a pgsql -d 10.1.1.3 -b dbt2 -f -c 10 -s 100 -p 30000 -o /tmp/3-tier/client/sodium.1"
1650892803,postgres,892,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,217188,812,0.00,132,20,0.00,0.00,0.00,0,0.02,0.00,1,3,"sar -o /tmp/3-tier/client/sodium/sar_raw.out 60 6"
1650892803,postgres,893,0.00,0.02,0.00,0.00,0.02,1,0.00,0.00,222268,4400,0.01,132,20,0.00,0.13,0.00,0,0.15,0.02,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650892803,postgres,894,0.00,0.02,0.00,0.00,0.02,2,0.00,0.00,222828,1312,0.00,132,20,0.00,0.33,0.00,0,0.90,0.02,1,6,"sadc 60 7 -Z -S XALL /tmp/3-tier/client/sodium/sar_raw.out"
1650892863,postgres,848,15.17,25.27,0.00,0.00,40.43,1,0.17,0.00,1662580,8540,0.01,132,8,0.00,551.13,0.00,0,0.00,0.00,22,25,"dbt2-client -a pgsql -d 10.1.1.3 -b dbt2 -f -c 10 -s 100 -p 30000 -o /tmp/3-tier/client/sodium.1"
1650892863,postgres,892,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,217188,812,0.00,132,20,0.00,0.00,0.00,0,0.02,0.00,1,3,"sar -o /tmp/3-tier/client/sodium/sar_raw.out 60 6"
1650892863,postgres,893,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,222268,4400,0.01,132,20,0.00,0.07,0.00,0,0.13,0.03,1,5,"pidstat -H -h -l -d -r -s -U -u -w -v -h -l -d -r -s -u -w 60 6"
1650892863,postgres,894,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,222828,1312,0.00,132,20,0.00,0.33,0.00,0,0.70,0.18,1,5,"sadc 60 7 -Z -S XALL /tmp/3-tier/client/sodium/sar_raw.out"
