ctime,datid,datname,confl_tablespace,confl_lock,confl_snapshot,confl_bufferpin,confl_deadlock,confl_active_logicalslot
1707242767.672215,1,template1,0,0,0,0,0,0
1707242767.672215,4,template0,0,0,0,0,0,0
1707242767.672215,24576,dbt5,0,0,0,0,0,0
1707242827.614497,5,postgres,0,0,0,0,0,0
1707242827.614497,30444,dbt7,0,0,0,0,0,0
1707242827.614497,1,template1,0,0,0,0,0,0
1707242827.614497,4,template0,0,0,0,0,0,0
1707242827.614497,24576,dbt5,0,0,0,0,0,0
1707242887.712593,5,postgres,0,0,0,0,0,0
1707242887.712593,30444,dbt7,0,0,0,0,0,0
1707242887.712593,1,template1,0,0,0,0,0,0
1707242887.712593,4,template0,0,0,0,0,0,0
1707242887.712593,24576,dbt5,0,0,0,0,0,0
1707242947.841327,5,postgres,0,0,0,0,0,0
1707242947.841327,30444,dbt7,0,0,0,0,0,0
1707242947.841327,1,template1,0,0,0,0,0,0
1707242947.841327,4,template0,0,0,0,0,0,0
1707242947.841327,24576,dbt5,0,0,0,0,0,0
1707243007.739433,5,postgres,0,0,0,0,0,0
1707243007.739433,30444,dbt7,0,0,0,0,0,0
1707243007.739433,1,template1,0,0,0,0,0,0
1707243007.739433,4,template0,0,0,0,0,0,0
1707243007.739433,24576,dbt5,0,0,0,0,0,0
1707243067.827231,5,postgres,0,0,0,0,0,0
1707243067.827231,30444,dbt7,0,0,0,0,0,0
1707243067.827231,1,template1,0,0,0,0,0,0
1707243067.827231,4,template0,0,0,0,0,0,0
1707243067.827231,24576,dbt5,0,0,0,0,0,0
1707243127.757525,5,postgres,0,0,0,0,0,0
1707243127.757525,30444,dbt7,0,0,0,0,0,0
1707243127.757525,1,template1,0,0,0,0,0,0
1707243127.757525,4,template0,0,0,0,0,0,0
1707243127.757525,24576,dbt5,0,0,0,0,0,0
1707243188.078830,5,postgres,0,0,0,0,0,0
1707243188.078830,30444,dbt7,0,0,0,0,0,0
1707243188.078830,1,template1,0,0,0,0,0,0
1707243188.078830,4,template0,0,0,0,0,0,0
1707243188.078830,24576,dbt5,0,0,0,0,0,0
1707243248.013374,5,postgres,0,0,0,0,0,0
1707243248.013374,30444,dbt7,0,0,0,0,0,0
1707243248.013374,1,template1,0,0,0,0,0,0
1707243248.013374,4,template0,0,0,0,0,0,0
1707243248.013374,24576,dbt5,0,0,0,0,0,0
1707243307.988905,5,postgres,0,0,0,0,0,0
1707243307.988905,30444,dbt7,0,0,0,0,0,0
1707243307.988905,1,template1,0,0,0,0,0,0
1707243307.988905,4,template0,0,0,0,0,0,0
1707243307.988905,24576,dbt5,0,0,0,0,0,0
1707243367.966142,5,postgres,0,0,0,0,0,0
1707243367.966142,30444,dbt7,0,0,0,0,0,0
1707243367.966142,1,template1,0,0,0,0,0,0
1707243367.966142,4,template0,0,0,0,0,0,0
1707243367.966142,24576,dbt5,0,0,0,0,0,0
1707243428.136482,5,postgres,0,0,0,0,0,0
1707243428.136482,30444,dbt7,0,0,0,0,0,0
1707243428.136482,1,template1,0,0,0,0,0,0
1707243428.136482,4,template0,0,0,0,0,0,0
1707243428.136482,24576,dbt5,0,0,0,0,0,0
1707243488.087325,5,postgres,0,0,0,0,0,0
1707243488.087325,30444,dbt7,0,0,0,0,0,0
1707243488.087325,1,template1,0,0,0,0,0,0
1707243488.087325,4,template0,0,0,0,0,0,0
1707243488.087325,24576,dbt5,0,0,0,0,0,0
1707243548.086935,5,postgres,0,0,0,0,0,0
1707243548.086935,30444,dbt7,0,0,0,0,0,0
1707243548.086935,1,template1,0,0,0,0,0,0
1707243548.086935,4,template0,0,0,0,0,0,0
1707243548.086935,24576,dbt5,0,0,0,0,0,0
1707243608.155460,5,postgres,0,0,0,0,0,0
1707243608.155460,30444,dbt7,0,0,0,0,0,0
1707243608.155460,1,template1,0,0,0,0,0,0
1707243608.155460,4,template0,0,0,0,0,0,0
1707243608.155460,24576,dbt5,0,0,0,0,0,0
1707243668.151869,5,postgres,0,0,0,0,0,0
1707243668.151869,30444,dbt7,0,0,0,0,0,0
1707243668.151869,1,template1,0,0,0,0,0,0
1707243668.151869,4,template0,0,0,0,0,0,0
1707243668.151869,24576,dbt5,0,0,0,0,0,0
1707243728.257386,5,postgres,0,0,0,0,0,0
1707243728.257386,30444,dbt7,0,0,0,0,0,0
1707243728.257386,1,template1,0,0,0,0,0,0
1707243728.257386,4,template0,0,0,0,0,0,0
1707243728.257386,24576,dbt5,0,0,0,0,0,0
1707243788.304705,5,postgres,0,0,0,0,0,0
1707243788.304705,30444,dbt7,0,0,0,0,0,0
1707243788.304705,1,template1,0,0,0,0,0,0
1707243788.304705,4,template0,0,0,0,0,0,0
1707243788.304705,24576,dbt5,0,0,0,0,0,0
1707243848.290736,5,postgres,0,0,0,0,0,0
1707243848.290736,30444,dbt7,0,0,0,0,0,0
1707243848.290736,1,template1,0,0,0,0,0,0
1707243848.290736,4,template0,0,0,0,0,0,0
1707243848.290736,24576,dbt5,0,0,0,0,0,0
1707243908.305415,5,postgres,0,0,0,0,0,0
1707243908.305415,30444,dbt7,0,0,0,0,0,0
1707243908.305415,1,template1,0,0,0,0,0,0
1707243908.305415,4,template0,0,0,0,0,0,0
1707243908.305415,24576,dbt5,0,0,0,0,0,0
1707243968.418634,5,postgres,0,0,0,0,0,0
1707243968.418634,30444,dbt7,0,0,0,0,0,0
1707243968.418634,1,template1,0,0,0,0,0,0
1707243968.418634,4,template0,0,0,0,0,0,0
1707243968.418634,24576,dbt5,0,0,0,0,0,0
