BEGIN;
BEGIN
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 29
	and p_type like '%BRASS'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'EUROPE'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
			and n_regionkey = r_regionkey
			and r_name = 'EUROPE'
	)
order by
	s_acctbal desc,
	n_name,
	s_name,
	p_partkey
LIMIT 100;
 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                              
   9940.76 | Supplier#000031587        | GERMANY                   |   1381560 | Manufacturer#2            | qOjHNzlw4i7XT7tr7JU2P2rY3d               | 17-221-164-2555 | ect fluffily. fluffily even instructions sleep quickly careful
   9940.76 | Supplier#000031587        | GERMANY                   |   1406572 | Manufacturer#2            | qOjHNzlw4i7XT7tr7JU2P2rY3d               | 17-221-164-2555 | ect fluffily. fluffily even instructions sleep quickly careful
   9939.40 | Supplier#000028113        | RUSSIA                    |    303109 | Manufacturer#2            | HrnOoqKBep02Dvafwz9SHIzaJWlL             | 32-938-722-6528 | ideas. ruthlessly ironic accounts should are slyly special, regular pla
   9939.30 | Supplier#000012086        | ROMANIA                   |   1437043 | Manufacturer#3            | 1J3KiLGCU3                               | 29-275-848-9101 | ilent, special deposits. ironic requests boost furiously aroun
   9937.84 | Supplier#000005969        | ROMANIA                   |    830944 | Manufacturer#2            | ANDENSOSmk,miq23Xfb5RWt6dvUcvt6Qa        | 29-520-692-3537 | efully express instructions. regular requests against the slyly fin
   9937.53 | Supplier#000042994        | GERMANY                   |    992975 | Manufacturer#4            | Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf         | 17-429-634-1843 | aggle carefully along the quickly even
   9937.53 | Supplier#000042994        | GERMANY                   |   1017983 | Manufacturer#5            | Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf         | 17-429-634-1843 | aggle carefully along the quickly even
   9937.08 | Supplier#000025137        | FRANCE                    |   1025136 | Manufacturer#3            | stIIQZedYRXAju36LbGb09,qUxhkWtV          | 16-206-728-7034 |  ironic courts around the quickly unusual packages wake 
   9937.00 | Supplier#000030065        | UNITED KINGDOM            |    655046 | Manufacturer#2            | 5ibtYQpTYTTu6C2c6knFD9yu                 | 33-520-380-3390 | latelets. notornis sleep slyly across the regular realms. final hockey players haggle across 
   9936.77 | Supplier#000060040        | RUSSIA                    |   1410011 | Manufacturer#1            | zX5c,o6tI0v3MPwEZ6Z                      | 32-722-799-2240 | ar, bold deposits play carefully among the furiously final requ
   9936.77 | Supplier#000060040        | RUSSIA                    |   1535024 | Manufacturer#2            | zX5c,o6tI0v3MPwEZ6Z                      | 32-722-799-2240 | ar, bold deposits play carefully among the furiously final requ
   9936.01 | Supplier#000064630        | FRANCE                    |   1089599 | Manufacturer#5            | cW3kNfLGiN2n7w84pIHEpTd4sewgpnW          | 16-782-698-5265 | . furiously express ideas boost across the regular requests. furiously final ideas haggle fl
   9935.47 | Supplier#000076753        | GERMANY                   |   1701701 | Manufacturer#5            | LT9HmdIioA1SpoexZVJFctP18c4pRlyhnLZbQ    | 17-290-188-9818 | structions nag fluffily after the fluffily regular deposits. 
   9934.44 | Supplier#000009762        | GERMANY                   |   1009761 | Manufacturer#5            | sszbnlE,8rTVV1n5PUnUaX                   | 17-758-315-1893 | uriously unusual foxes. bold, ironic foxes according to the blithely final 
   9933.55 | Supplier#000052419        | RUSSIA                    |   1977361 | Manufacturer#3            | zfFfL1gouwENiN9t                         | 32-747-900-4913 | e pinto beans. pinto beans sleep carefully regular
   9931.65 | Supplier#000087957        | RUSSIA                    |   1112923 | Manufacturer#3            | NGnaqR9EhpuPmeDdZEaiUEckHnfc7HWP         | 32-223-673-7656 | t courts wake slyly bold accounts. bold packag
   9928.22 | Supplier#000070571        | UNITED KINGDOM            |     45570 | Manufacturer#2            | OVjfZbwOSBSM2R84JKjDyDBopwE              | 33-866-757-8338 | . even requests haggle special requests. asymptotes ha
   9924.71 | Supplier#000046967        | FRANCE                    |   1821948 | Manufacturer#5            | NJ0GmHSWcU NqZOiOjIcsfXFeSsTMJc          | 16-140-580-2318 |  pinto beans. carefully pending accounts kindle about the busy 
   9924.62 | Supplier#000021178        | UNITED KINGDOM            |    571167 | Manufacturer#2            | k7rdmaXpbvtv19HXfFBQXXXwW4  BaUDTbn      | 33-236-914-3641 | lithely express theodolites. carefully express platelets affix furiously. iron
   9924.62 | Supplier#000021178        | UNITED KINGDOM            |   1071157 | Manufacturer#3            | k7rdmaXpbvtv19HXfFBQXXXwW4  BaUDTbn      | 33-236-914-3641 | lithely express theodolites. carefully express platelets affix furiously. iron
   9923.77 | Supplier#000002324        | GERMANY                   |   1977304 | Manufacturer#5            | y3OD9UywSTOk                             | 17-779-299-1839 | ackages boost blithely. blithely regular deposits c
   9920.24 | Supplier#000051485        | GERMANY                   |    626478 | Manufacturer#2            | ZrSnSNxfvsD8KBgRrZzHKm,wrv2DtPf3         | 17-317-540-3763 | -- slyly even escapades sleep carefully a
   9919.32 | Supplier#000060975        | GERMANY                   |     10974 | Manufacturer#1            | 1XgZNUf0iYSTa,2mRn4rE,ZipBoUs8UIAxsY     | 17-560-373-4613 | nstructions use furiously. ca
   9918.88 | Supplier#000082683        | UNITED KINGDOM            |   1232658 | Manufacturer#5            | RR7y  BiYXqJaw                           | 33-114-482-3385 | nding instructions along the blithely regular ideas affix according to the ironic requests. careful
   9914.86 | Supplier#000080085        | RUSSIA                    |   1605036 | Manufacturer#1            | VnB BccfplC86 mtxW6xj7dUyTiRys6 jw3g     | 32-248-927-1522 | regular foxes. carefully regular packages amon
   9914.35 | Supplier#000061794        | RUSSIA                    |    411785 | Manufacturer#3            | MZ0gruFxMa6,l,j4zDBv,Heyqf443jDv         | 32-126-260-7663 | as cajole blithely fluffily ruthless packages. c
   9911.78 | Supplier#000020832        | UNITED KINGDOM            |   1370805 | Manufacturer#4            | d,NJrx NfuTgiE43A9WQbyvg0DL29GB          | 33-413-852-3873 | l accounts snooze blithely. requests according to th
   9910.21 | Supplier#000083844        | GERMANY                   |   1658827 | Manufacturer#5            | Iv7afWViREdGHyMh552fVeD4G7OvxcF9AAL,k    | 17-309-774-7404 | accounts boost ideas. slyly regular packages boost 
   9906.62 | Supplier#000056069        | GERMANY                   |    381059 | Manufacturer#2            | hdJMnRost2FeZ92JTTP8R6Q6UuYl LlJZ2oySPA  | 17-638-190-7326 | hely. ironic, express foxes cajole up the requests. even, unusual accounts are across the packages
   9898.61 | Supplier#000059419        | FRANCE                    |   1134407 | Manufacturer#5            | Czn 4yp4BFP3cdO9KVpcEVKfF4               | 16-660-798-1130 | y regular accounts. quickly dogged Tiresias across the blithely pending theodolit
   9895.21 | Supplier#000039759        | ROMANIA                   |    589748 | Manufacturer#3            | n0KSliZ3pv5BnyJW3ey3VZAqf                | 29-714-790-9605 | p blithely ironic accounts. pending, express dependencies haggle against the deposits. bl
   9892.95 | Supplier#000096633        | ROMANIA                   |   1521587 | Manufacturer#2            | MAaGSNl3FDAdcjWVA1HHKV8mtg2Q,wRPu0qZ2    | 29-164-653-2948 |  accounts wake quickly ironic orbits. slyly quick deposits about
   9892.21 | Supplier#000016589        | FRANCE                    |   1291576 | Manufacturer#5            | MnSKC7j1RaeB,                            | 16-639-809-1366 | equests. carefully regular courts alongside of the fluf
   9886.25 | Supplier#000080290        | FRANCE                    |    130287 | Manufacturer#4            | eaUObuSDCD1PWs1                          | 16-676-561-2239 | use even courts. carefully final asymptotes use fur
   9880.72 | Supplier#000000896        | GERMANY                   |    975886 | Manufacturer#4            | yvNZycuQYm9d9A8v1m                       | 17-790-100-9143 |  regular deposits. carefully unusual accounts haggle ironic,
   9874.90 | Supplier#000040624        | GERMANY                   |    740623 | Manufacturer#4            | 4S0T3NXSEFH2VzqIwkvbItm3eFFe0iWpwbV19SFz | 17-233-896-4431 |  haggle closely across the slyly fluf
   9873.94 | Supplier#000016424        | RUSSIA                    |   1016423 | Manufacturer#1            | uq1NWlLbhdJNZArm3                        | 32-605-116-3927 |  the ironic instructions. blithely ironic accounts are slyly. fluffily unusual excuses after the re
   9873.90 | Supplier#000058391        | GERMANY                   |    658390 | Manufacturer#5            | FA 45I,q ODAcIxWEE4 Gb,m1p5eFW2sCoclCLs  | 17-311-740-7234 | al, regular platelets. ironic deposits haggle slyly against the bo
   9872.81 | Supplier#000097316        | ROMANIA                   |    322306 | Manufacturer#4            | cJ7G0pfLTWOAp4QFtksmmGR1CTCI             | 29-726-802-1880 | ts sleep fluffily. carefully regular deposits alongside o
   9872.05 | Supplier#000047465        | FRANCE                    |   1547464 | Manufacturer#2            | Kvvq LO35EWf8GK                          | 16-636-416-4263 | e according to the pending packages. furiously quiet packages
   9869.98 | Supplier#000081446        | FRANCE                    |   1431417 | Manufacturer#5            | xQnnVgu PfVo                             | 16-912-320-8438 | nal dependencies. pinto beans 
   9869.93 | Supplier#000084736        | RUSSIA                    |    609717 | Manufacturer#2            | tj,fGORaUOgNWhFUn6GbpeFmzb9BFjt9K6nu7o7  | 32-393-409-1197 | ans wake blithely regular requests. 
   9868.44 | Supplier#000062507        | ROMANIA                   |   1412478 | Manufacturer#3            | 1dePPGFWYYK                              | 29-895-360-4525 | ependencies solve slyly. slyly unusual accounts detect blithe, express requests. furiously 
   9866.72 | Supplier#000010268        | ROMANIA                   |    985258 | Manufacturer#3            | IIRDDdhpT08DLOpyZSBCot3Rh                | 29-986-591-5398 | ly special packages cajole blithely about the ironic, unusual accounts. ironic, iro
   9863.03 | Supplier#000087030        | RUSSIA                    |    112026 | Manufacturer#2            | gaCHmJnMvtYB8u2ErEBSunna6ldgZbMn         | 32-196-751-1602 | oost across the stealthily regular deposits. idly e
   9862.74 | Supplier#000067377        | ROMANIA                   |   1692328 | Manufacturer#2            | UkTx1A4PeDvsrcaxyjW5G                    | 29-605-414-2109 | ch blithely about the blithely eve
   9858.77 | Supplier#000073968        | FRANCE                    |   1798916 | Manufacturer#5            | hz0 HcqFc Z80lU64OnV7TSy,mQK,u           | 16-922-254-7951 | ronic requests. slyly brave accounts cajole blithely along the carefully unusual theodolites. bo
   9857.25 | Supplier#000040084        | ROMANIA                   |   1365044 | Manufacturer#4            | IljGis,BzE2 sk6AfRozS                    | 29-815-975-2087 | ; stealthily final dependencies use furiously. slyly pending deposits maintain slyly across the s
   9857.23 | Supplier#000040765        | GERMANY                   |   1040764 | Manufacturer#3            | V52U KaskYRO4M2iH8BAPPzP1Q0ZGh,          | 17-255-667-7322 |  asymptotes against the bold packages boost blithely after the furiously express theodolites. sly
   9856.43 | Supplier#000045738        | UNITED KINGDOM            |    395731 | Manufacturer#3            | qd7jaGTfaxX Fhamq84AagYXv3IqU0oIEjBC     | 33-394-523-3413 | es. fluffy deposits run caref
   9852.52 | Supplier#000008973        | RUSSIA                    |   1983953 | Manufacturer#1            | t5L67YdBYYH6o,Vz24jpDyQ9                 | 32-188-594-7038 | rns wake final foxes. carefully unusual depende
   9851.69 | Supplier#000038614        | FRANCE                    |   1763562 | Manufacturer#3            | JcRDnfM4MC8Aqr8TA9xnNZQt2WV              | 16-357-637-7425 | y above the carefully express accounts. blithely even requests boost blithe
   9846.72 | Supplier#000062848        | UNITED KINGDOM            |    887823 | Manufacturer#1            | X,xtORbtbgOKftLdqgigKBdjFQgPprW,GG       | 33-325-481-7818 | among the carefully special deposits. deposits shall detect regular packages. bold packages cajol
   9838.20 | Supplier#000050440        | ROMANIA                   |   1625423 | Manufacturer#4            | pczt6c395VbTzbse7OVvJGG4aqe GjDK,QlBnLR  | 29-897-791-1414 | lar courts. blithely silent accounts nag according to the bold requests.
   9837.53 | Supplier#000005414        | RUSSIA                    |   1530368 | Manufacturer#1            | yDLmG4bxYA1iviZ71PkEtzcDoB0KT            | 32-204-830-9105 | y through the fluffily ruthless platelets; furiously si
   9827.32 | Supplier#000049103        | GERMANY                   |    349102 | Manufacturer#2            | eZH4P4R6ZZlivSCjn5Usg                    | 17-370-896-2952 | slyly ironic foxes nag quickly slyly regular excuses. quickly
   9825.33 | Supplier#000089770        | ROMANIA                   |    389769 | Manufacturer#5            | R0u11qwGLDTo8M7t                         | 29-209-173-8510 |  along the enticingly bold accounts-- furiou
   9824.72 | Supplier#000072517        | ROMANIA                   |   1447502 | Manufacturer#1            | OFw3m2x5TO3TyLdMPFm7mT28ijWoHZBPU5W6ty   | 29-615-917-5641 |  ideas maintain carefully. carefully bold din
   9823.21 | Supplier#000015946        | GERMANY                   |    940918 | Manufacturer#3            | oHOHINE7WhXFGmX6GoBDm1qpTPDm0oEtRT4J0    | 17-266-516-5246 | gular requests. packages nag quickly. deposits cajole fur
   9822.22 | Supplier#000003440        | UNITED KINGDOM            |    178438 | Manufacturer#5            | 93S5pntmWhw R6U4ZD ROQ,2gI17b3           | 33-495-208-7899 | ake carefully after the fluffily re
   9821.49 | Supplier#000081219        | RUSSIA                    |   1906161 | Manufacturer#4            | UTg6hxwaY3WZuiOTtt6W5jg tq,0PrC          | 32-525-511-3618 | ironic foxes about the furiously pen
   9818.98 | Supplier#000060094        | GERMANY                   |   1385054 | Manufacturer#3            | P8CrJmDT2lihE                            | 17-293-298-6268 | nt ideas along the quickly express theodolites doze slyly quickly careful pinto
   9816.83 | Supplier#000076625        | GERMANY                   |   1901567 | Manufacturer#1            | DzbjIJOQ,7RZsbepISCxW1Lm                 | 17-173-382-2333 | requests haggle. ruthless pinto beans along the furiously regula
   9813.27 | Supplier#000055123        | ROMANIA                   |    280116 | Manufacturer#4            | bDiIx yNRXcigioRWmNxDwV Kp3b172yzY4      | 29-736-401-5608 | boost quickly above the enticing, final asymptotes. carefully 
   9813.22 | Supplier#000098662        | GERMANY                   |   1198661 | Manufacturer#3            | C2Xnz3lgoz                               | 17-399-656-1830 | sual pinto beans haggle quietly unusual packages. even ideas are around 
   9807.63 | Supplier#000077133        | RUSSIA                    |   1827096 | Manufacturer#1            | IO4I1kGx9 4oPF1h,mwjNFXPmIo3             | 32-434-177-1005 |  unusual ideas cajole slyly final deposits. furiously special theodolites use. bold, expr
   9801.59 | Supplier#000024343        | GERMANY                   |    874326 | Manufacturer#5            | fc7CSEyrh0XRxnxJ7xXEO                    | 17-359-754-1285 | gle about the carefully even packages? daringly sil
   9794.99 | Supplier#000067083        | GERMANY                   |     92082 | Manufacturer#2            | TIT6bCwloYqsBT17IESRfO2Eg,6ruaAs5xWnKjtI | 17-356-120-4542 | egular dolphins? pending, un
   9794.77 | Supplier#000023968        | FRANCE                    |    398964 | Manufacturer#4            | kkV 05eFetqTjMPPs1s1mrO0BOQe1            | 16-798-687-4963 | hely final accounts after the ironic, pending depos
   9794.77 | Supplier#000023968        | FRANCE                    |    798960 | Manufacturer#1            | kkV 05eFetqTjMPPs1s1mrO0BOQe1            | 16-798-687-4963 | hely final accounts after the ironic, pending depos
   9790.50 | Supplier#000039265        | ROMANIA                   |   1914245 | Manufacturer#5            | XMPp6qd OCVMUEmyx                        | 29-376-932-9916 | jole after the quickly regular dinos. regular pi
   9785.22 | Supplier#000079436        | FRANCE                    |   1579435 | Manufacturer#4            | 9yNnNydzn5szPvGIw3yMsDZ7B,rHgUhHB5f10MO8 | 16-535-126-1381 | ccounts wake fluffily across the slyly express deposits. accounts are. daringly bo
   9784.83 | Supplier#000047271        | GERMANY                   |   1972213 | Manufacturer#2            | 9QyCeTAIGNwRNhQxS51kAtN                  | 17-909-214-8269 | nts after the theodolites nag slyly furiously regular pinto beans. s
   9783.29 | Supplier#000012677        | RUSSIA                    |   1587661 | Manufacturer#5            | qqKJSAdY jrkS6eOkgEH5N2Z5H4E             | 32-131-397-8607 | counts mold carefully special pinto beans. slyly fluf
   9782.74 | Supplier#000033564        | UNITED KINGDOM            |    508558 | Manufacturer#5            | q4fhbnoacrwP1VmdG0PwEvetVkUk9h4jleDGe    | 33-791-528-2509 | egular accounts detect furiously ironic deposits. carefully ironic theodoli
   9782.74 | Supplier#000033564        | UNITED KINGDOM            |   1358524 | Manufacturer#4            | q4fhbnoacrwP1VmdG0PwEvetVkUk9h4jleDGe    | 33-791-528-2509 | egular accounts detect furiously ironic deposits. carefully ironic theodoli
   9782.08 | Supplier#000013403        | ROMANIA                   |   1988383 | Manufacturer#1            | kF9vyEI5yyyIjaBJ6pZsTeLN4FqgoHmz7,le     | 29-456-774-5753 | ages doze quickly unusual foxes-- carefully regular packages boost qu
   9779.65 | Supplier#000017125        | UNITED KINGDOM            |    367118 | Manufacturer#1            | wjR6dOcSu1xxYMfcZFj97hKUcs               | 33-473-269-4808 | ly about the slyly pending ide
   9777.75 | Supplier#000030124        | RUSSIA                    |    105122 | Manufacturer#1            | vQT4tgo EJSFpgBqp35tVK1,p3n8 Rv          | 32-554-818-8924 | ounts sleep slyly above the regular dolphins! regular excuses sleep daringly 
   9775.75 | Supplier#000033756        | GERMANY                   |    933755 | Manufacturer#3            | dAjWEm8cjlwJvmyHo                        | 17-199-733-2240 | f the fluffily bold pearls. blithely even pinto beans sleep slyly across the 
   9769.47 | Supplier#000029494        | ROMANIA                   |   1354454 | Manufacturer#1            | jmXfVNb3MLeoaWwN4tyg75h188Wg             | 29-132-947-1759 | ss the even packages grow quickly across the busy, unus
   9767.32 | Supplier#000073781        | FRANCE                    |     23780 | Manufacturer#5            | LWLjymYpnPf1VxJkBpbausoKS2RpXWVZWBOD     | 16-282-344-5601 | nstructions haggle after the express, express courts. fluffily ironic foxes according t
(100 rows)

COMMIT;
COMMIT
