BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'VIETNAM'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000100000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'VIETNAM'
		)
order by
	value desc;
 ps_partkey |    value    
    1018837 | 14799675.43
    1759185 | 14756084.08
    1442806 | 14731626.76
     850859 | 14725335.73
    1050982 | 14724478.91
    1523888 | 14713397.45
    1193737 | 14699218.86
    1763263 | 14696275.61
    1775475 | 14690318.46
     708652 | 14688869.59
     628554 | 14688401.30
    1177606 | 14687495.47
     323666 | 14650181.04
    1664643 | 14649459.04
      83816 | 14647607.85
    1993672 | 14638108.05
    1030645 | 14596974.71
    1945894 | 14572219.83
     175148 | 14545638.04
     669831 | 14542231.05
    1314735 | 14504131.28
    1718074 | 14495717.70
     440465 | 14495351.43
    1680272 | 14442433.68
    1267555 | 14438025.21
     627599 | 14389423.40
     174481 | 14383727.47
     753023 | 14379220.26
    1145116 | 14378745.46
     702441 | 14376485.30
     687521 | 14366098.74
    1676284 | 14327388.58
    1189305 | 14326604.02
    1093146 | 14277821.30
     224476 | 14258438.16
    1234787 | 14250913.10
    1139283 | 14242209.20
     828748 | 14229684.40
     241041 | 14222699.14
    1192283 | 14216236.81
    1704071 | 14212660.00
    1139837 | 14211610.11
     655655 | 14180078.06
     959607 | 14169595.36
    1533774 | 14160781.35
     658024 | 14154861.32
    1975890 | 14132093.85
    1790974 | 14121294.04
    1943181 | 14101619.77
     575452 | 14095343.25
    1270039 | 14047928.49
     423193 | 14044873.44
    1220360 | 14041955.66
    1357202 | 14027222.73
       5675 | 14018824.12
     448656 | 14007663.18
     161248 | 13971941.18
     427406 | 13971771.57
     406784 | 13969337.30
    1260470 | 13965933.56
    1421702 | 13964755.28
    1763227 | 13960288.17
     748550 | 13958086.60
    1454884 | 13956964.00
     825226 | 13946057.41
     173029 | 13939772.04
    1758543 | 13935378.40
     653439 | 13924004.86
     681624 | 13911405.87
    1278755 | 13902519.61
     701218 | 13889892.34
     808601 | 13879877.27
     798971 | 13871282.60
     763198 | 13862823.38
    1130588 | 13859460.12
     372969 | 13850725.60
    1341637 | 13849799.21
     677549 | 13801895.17
    1711032 | 13794030.09
    1889435 | 13775799.99
    1215161 | 13768648.86
     282247 | 13749239.14
    1211474 | 13745527.89
     677611 | 13740982.52
    1471989 | 13726857.06
    1551948 | 13724217.86
    1055406 | 13721202.24
    1457019 | 13721058.98
     335493 | 13718256.16
    1839881 | 13698635.19
      21487 | 13697299.86
    1238131 | 13687458.96
     844476 | 13684025.96
    1450894 | 13682789.12
     662456 | 13665891.50
     328619 | 13657497.03
    1269655 | 13656514.47
     179695 | 13654181.88
    1146203 | 13643223.03
    1994110 | 13638318.33
      90044 | 13633819.44
     632856 | 13620039.09
     949075 | 13606887.26
     234575 | 13598058.37
     556935 | 13596779.84
     538219 | 13589655.69
     393680 | 13573728.48
      85611 | 13572251.72
    1036506 | 13560182.16
      95032 | 13555107.41
    1029701 | 13544694.75
     526283 | 13528047.09
    1113938 | 13523221.97
    1301154 | 13521092.24
     455827 | 13518891.54
     838851 | 13513886.38
    1780744 | 13490466.82
     958632 | 13475894.69
     100754 | 13461035.80
       1784 | 13440544.00
    1450232 | 13423605.11
     964449 | 13405524.96
    1005300 | 13404842.37
      90393 | 13404825.32
     614580 | 13383902.75
      43139 | 13381611.92
    1099256 | 13378147.68
    1901689 | 13375324.55
    1604762 | 13365114.18
     223774 | 13349446.97
     404512 | 13342957.90
    1975576 | 13341418.22
     226194 | 13335983.50
    1507396 | 13317076.86
     209539 | 13306596.50
    1381534 | 13299095.70
    1882994 | 13296330.71
    1601246 | 13284692.54
     965226 | 13283868.79
     478623 | 13275954.54
     820486 | 13264790.64
     641000 | 13256277.61
    1329559 | 13254964.34
     850383 | 13249393.79
    1090981 | 13243803.08
     348199 | 13239206.02
     983194 | 13219811.32
    1926593 | 13213662.79
     458666 | 13211108.02
    1878369 | 13211106.38
     818674 | 13204513.56
    1525368 | 13192596.06
     734583 | 13189326.39
    1661064 | 13182029.98
     846592 | 13175300.68
    1303149 | 13174078.30
     911422 | 13169345.50
     824684 | 13166640.62
     595276 | 13166173.90
     606144 | 13151147.93
     829314 | 13145855.35
    1584754 | 13143089.66
    1046068 | 13139646.52
    1122424 | 13127004.16
    1105361 | 13116822.17
    1203393 | 13102917.70
     190354 | 13102746.66
     504897 | 13100217.57
     727121 | 13092538.10
    1606744 | 13090671.85
     353329 | 13088964.21
     722719 | 13083140.57
     794343 | 13081257.98
     373002 | 13080717.84
    1643047 | 13057340.93
     785257 | 13056869.84
    1735960 | 13049573.38
    1405237 | 13047553.20
     781534 | 13034929.40
     149660 | 13024455.59
     409889 | 13018038.52
     508650 | 13008195.03
    1120269 | 13004179.47
     239075 | 12999740.70
    1909522 | 12991500.72
    1301784 | 12990847.77
    1056976 | 12980245.64
     525084 | 12978291.70
     725782 | 12966890.20
     972063 | 12955139.25
    1625135 | 12953641.84
     970474 | 12949323.91
     934313 | 12940762.84
     543134 | 12935151.96
     743249 | 12934409.37
    1300775 | 12931569.90
    1759996 | 12928537.14
    1043124 | 12923704.58
     979415 | 12915283.80
    1428622 | 12914699.05
     794984 | 12913345.76
       4711 | 12908444.31
      90404 | 12905577.52
     521979 | 12900943.85
     323373 | 12899760.64
    1045213 | 12893963.94
    1934541 | 12893451.32
    1513376 | 12893154.61
    1926510 | 12886231.30
     133174 | 12885076.07
    1608656 | 12880932.44
     441580 | 12878218.08
     919926 | 12876758.15
    1783916 | 12872037.02
      83312 | 12869845.13
    1657028 | 12865000.64
    1548938 | 12861681.71
     167146 | 12861315.24
    1751232 | 12860034.92
     200291 | 12855221.76
    1683280 | 12837898.71
     902406 | 12836278.24
    1867676 | 12835583.61
     890127 | 12835216.90
    1244128 | 12822244.25
    1268565 | 12817844.51
    1632279 | 12817569.71
     242567 | 12810485.80
    1905400 | 12794813.86
     880191 | 12779881.08
     596897 | 12773689.68
     914363 | 12771510.83
     363452 | 12764875.20
    1068250 | 12762454.68
     888646 | 12760461.88
    1891556 | 12758638.80
     746352 | 12745293.85
    1715353 | 12742289.32
    1730310 | 12738481.52
     190388 | 12733172.27
     619480 | 12732673.98
     938537 | 12720426.04
     873879 | 12715869.36
    1275988 | 12715595.90
     963089 | 12711095.52
    1001520 | 12708453.06
    1190098 | 12704242.03
    1433997 | 12680381.28
    1793617 | 12676858.38
    1587573 | 12660336.86
    1640341 | 12659941.04
    1332444 | 12652672.73
    1753827 | 12650353.61
    1671868 | 12642437.98
     658367 | 12635857.88
    1451058 | 12627359.51
    1865982 | 12624853.66
    1176631 | 12624346.70
     177364 | 12623593.87
    1979481 | 12623016.02
     904261 | 12621048.78
    1889917 | 12600055.79
     538053 | 12577245.85
     250451 | 12566823.65
     632065 | 12550277.88
     567527 | 12549757.91
    1728405 | 12539004.70
     287486 | 12534550.83
     297562 | 12532088.04
    1264102 | 12527882.41
     177855 | 12520580.04
    1823191 | 12518808.09
    1578289 | 12500424.97
    1821593 | 12499459.70
     174579 | 12491225.18
    1552038 | 12489527.34
    1388363 | 12485487.72
     980851 | 12484594.55
     142912 | 12475145.70
    1172713 | 12465700.79
    1196781 | 12456743.64
    1055722 | 12455391.44
    1345461 | 12452072.74
    1169019 | 12450938.48
    1546704 | 12449918.11
     839021 | 12448052.26
    1096268 | 12443124.50
     658979 | 12434643.96
    1504546 | 12432618.93
    1818980 | 12429994.75
    1262279 | 12396329.82
     237625 | 12393690.76
    1241174 | 12391788.65
     763290 | 12391660.92
    1860988 | 12383675.38
    1647286 | 12382669.91
    1796608 | 12352269.40
    1534735 | 12335620.93
    1875148 | 12329098.32
    1411750 | 12326600.97
    1208343 | 12320552.64
    1700067 | 12317817.91
     474293 | 12313822.92
    1844489 | 12307552.63
     482981 | 12306966.40
     306405 | 12299138.40
    1670077 | 12296461.13
    1149692 | 12284687.25
    1680950 | 12281838.11
    1572816 | 12276824.91
     408973 | 12273133.60
      37563 | 12264975.06
    1465745 | 12261392.22
    1628563 | 12260847.47
    1976335 | 12257223.27
    1434551 | 12248868.88
    1206728 | 12245415.29
     296189 | 12244542.75
    1964182 | 12242621.00
    1083420 | 12231931.26
    1230018 | 12228729.79
    1311439 | 12228225.21
     553655 | 12222446.27
     715298 | 12219446.51
    1432005 | 12206307.30
      33672 | 12205957.00
     860014 | 12205912.08
     613267 | 12195451.54
      29397 | 12194936.66
    1146803 | 12192290.98
    1065224 | 12190421.14
     976208 | 12182124.22
    1740254 | 12178500.17
    1890098 | 12174587.54
    1587819 | 12171393.98
    1074967 | 12163371.26
    1427802 | 12162871.56
      49186 | 12159830.13
    1005578 | 12156898.95
     839434 | 12151559.40
     797420 | 12148188.70
     365305 | 12145666.39
     835006 | 12136395.16
     708909 | 12129148.81
    1277683 | 12128636.81
    1664188 | 12125203.94
     666562 | 12124793.67
     254513 | 12114164.21
    1491078 | 12113908.32
    1758899 | 12101192.33
     470551 | 12099886.20
     923008 | 12098770.20
    1540167 | 12093405.84
     208249 | 12091768.55
    1335943 | 12079285.08
      44804 | 12078918.72
     426750 | 12074561.24
     833659 | 12072209.20
     106997 | 12067915.62
    1797265 | 12066188.37
    1517126 | 12064551.26
     924159 | 12051923.35
    1469762 | 12037961.55
     661025 | 12025621.88
    1021058 | 12022781.82
    1168726 | 12020444.36
     856612 | 11993278.25
     191126 | 11990245.95
     215466 | 11985251.28
     370759 | 11982365.36
      92343 | 11970329.50
    1335337 | 11955917.60
    1640136 | 11955320.85
    1303259 | 11949952.38
    1892957 | 11947039.93
     589334 | 11945390.02
      80839 | 11942305.44
    1452406 | 11933892.12
     168689 | 11933672.56
     978684 | 11932897.84
     117668 | 11929108.31
     113643 | 11928627.37
     802736 | 11926964.89
     134548 | 11924479.52
     473396 | 11919952.08
    1265807 | 11909327.10
    1260956 | 11905612.96
     146592 | 11902613.12
    1905131 | 11898884.32
     509769 | 11898059.67
    1606974 | 11895276.90
     209608 | 11894142.33
    1332612 | 11890974.34
     419251 | 11879414.98
     989117 | 11875396.66
     799095 | 11873292.66
    1088339 | 11869842.43
    1514114 | 11868465.40
    1042372 | 11868418.45
     789900 | 11866369.66
    1763757 | 11866334.85
    1918087 | 11859142.58
    1160600 | 11857470.98
    1847576 | 11852832.93
     759094 | 11852585.51
    1615580 | 11852213.67
    1091300 | 11852129.86
     238335 | 11850169.50
    1959840 | 11846309.21
    1499711 | 11844052.52
     728670 | 11839776.20
    1710771 | 11837619.78
    1628954 | 11831302.51
    1828741 | 11829628.84
    1617770 | 11829193.58
     528417 | 11828588.68
     750969 | 11828230.04
    1289463 | 11827990.07
    1879550 | 11824493.35
     394924 | 11813920.74
     776079 | 11810534.90
     213286 | 11804025.87
    1850969 | 11803532.89
      43059 | 11801970.34
    1659438 | 11801055.46
     743682 | 11798875.44
    1731128 | 11793445.47
     795626 | 11793329.77
     992050 | 11788422.79
      71826 | 11785478.63
     589402 | 11779318.01
    1413617 | 11778535.14
     593888 | 11773493.36
      37006 | 11770423.46
    1700652 | 11759572.99
     895439 | 11755959.78
    1541128 | 11754950.93
     580772 | 11752508.51
    1056327 | 11751965.45
     881777 | 11749324.12
    1748849 | 11741757.94
     167340 | 11741621.09
     706334 | 11738406.53
     213278 | 11735202.68
    1756963 | 11728917.84
     387590 | 11724746.88
    1302269 | 11723512.14
     345577 | 11714357.35
    1060411 | 11713620.20
    1203139 | 11712992.16
     656540 | 11712334.14
     135103 | 11707304.44
     487830 | 11704199.23
    1615376 | 11701066.20
     875265 | 11696163.93
     756789 | 11694242.80
    1361429 | 11693669.93
    1301200 | 11692653.87
     131894 | 11687510.88
      40472 | 11686917.33
    1650218 | 11684104.03
    1668806 | 11678306.14
     840028 | 11677719.42
     662515 | 11675043.18
    1494013 | 11672548.50
    1692637 | 11672036.94
    1814253 | 11671827.58
    1528748 | 11667070.08
    1640915 | 11664418.56
    1115014 | 11661878.92
     889900 | 11660785.14
     869675 | 11659413.92
    1855473 | 11650719.22
    1171326 | 11650669.59
    1806742 | 11647996.88
    1446201 | 11643016.69
     914126 | 11641864.73
    1208053 | 11640733.00
     620535 | 11638165.62
    1248172 | 11633215.62
     846018 | 11631868.12
     699822 | 11630826.13
      14236 | 11628645.99
    1574798 | 11619410.41
    1552183 | 11614456.12
    1882704 | 11613356.88
    1406991 | 11613068.93
     526568 | 11611152.84
    1336390 | 11609151.85
    1375594 | 11605842.84
      73445 | 11601079.92
    1588271 | 11599865.71
    1630694 | 11598020.10
    1509397 | 11595837.31
     761894 | 11591937.46
    1717331 | 11587455.00
     442133 | 11585633.20
     891905 | 11579944.11
     700759 | 11578347.78
    1255753 | 11576357.40
    1002648 | 11571809.72
    1691730 | 11567977.06
     170090 | 11559332.52
    1056540 | 11559240.39
     983937 | 11558918.86
     145881 | 11555412.21
    1941838 | 11555328.71
    1418452 | 11550055.10
     415654 | 11549962.80
    1934481 | 11547240.89
    1796470 | 11545209.05
     408376 | 11542711.44
     610633 | 11539806.35
    1195743 | 11535793.00
     850695 | 11535071.01
     777206 | 11535069.96
    1967866 | 11532600.18
    1463471 | 11532421.69
     688848 | 11530008.83
    1934317 | 11524557.36
    1160014 | 11515238.60
     769589 | 11514564.54
    1078217 | 11513572.76
     550467 | 11509447.91
     725084 | 11508919.46
    1708660 | 11508768.70
    1172446 | 11506659.88
    1016134 | 11490818.46
    1389086 | 11487832.18
    1692677 | 11468683.64
    1920335 | 11466236.32
    1846330 | 11460097.70
     465662 | 11459584.88
     964613 | 11458923.75
    1813813 | 11452930.53
    1273599 | 11451236.05
    1341030 | 11448978.24
    1694984 | 11445586.55
    1032053 | 11444885.42
     408828 | 11443170.96
    1456606 | 11441716.16
    1781412 | 11441452.82
     564306 | 11437057.69
    1607483 | 11436805.84
     109402 | 11434883.36
    1624503 | 11433148.54
      40555 | 11432569.00
     283748 | 11430003.02
    1359743 | 11428874.72
     518867 | 11425826.94
    1242581 | 11424036.61
    1506795 | 11417498.94
     926226 | 11412293.70
    1382256 | 11409308.14
      37533 | 11408636.73
    1654397 | 11397116.90
    1771178 | 11395580.10
    1597003 | 11394493.29
     531576 | 11388263.38
     819659 | 11383972.98
     649372 | 11382697.07
      23029 | 11381675.25
    1149275 | 11379530.48
    1089988 | 11377775.61
    1770951 | 11375735.76
     495873 | 11375088.29
    1175118 | 11373685.73
     649983 | 11371467.52
    1520228 | 11366967.84
     444255 | 11366678.04
     780732 | 11364887.58
    1562593 | 11364250.25
     712569 | 11363443.96
     974734 | 11363349.38
    1114826 | 11361601.70
     896787 | 11360384.83
     661084 | 11354920.13
     784883 | 11353935.20
     640906 | 11348683.13
    1626602 | 11345293.78
     565093 | 11339328.49
     551069 | 11335434.06
    1922432 | 11331935.91
     912383 | 11329995.10
    1518989 | 11322124.87
     628843 | 11317339.75
     515409 | 11316675.26
     656773 | 11309829.80
     882985 | 11304122.47
      26079 | 11302885.05
      63713 | 11299009.88
     119678 | 11298257.80
    1211241 | 11297759.99
    1803723 | 11291025.80
    1032018 | 11290933.67
     480951 | 11288246.52
    1919927 | 11286819.89
    1684522 | 11281745.52
    1104315 | 11281667.52
    1870597 | 11274669.45
    1892571 | 11264584.21
    1293841 | 11263541.99
     469140 | 11259778.62
     195617 | 11258759.64
    1372445 | 11257336.41
     316554 | 11249221.48
    1660994 | 11241193.90
     727266 | 11236330.17
    1795697 | 11235949.17
     535253 | 11235493.31
    1616613 | 11232313.63
    1622181 | 11230036.67
    1815583 | 11226010.95
    1432014 | 11224143.11
     941599 | 11224043.83
     570885 | 11223366.75
    1540922 | 11218891.58
     467902 | 11217323.01
    1351610 | 11214302.22
    1053207 | 11212253.43
     995745 | 11208002.48
    1420751 | 11207910.21
    1565436 | 11203348.80
    1970502 | 11203335.92
     426899 | 11197367.54
     624937 | 11192459.00
    1573001 | 11192420.61
     408946 | 11188764.00
    1092643 | 11187406.78
    1353163 | 11182459.17
    1323903 | 11180325.86
     504333 | 11167313.61
     949687 | 11162604.64
     190128 | 11161799.89
     945461 | 11161189.87
     420362 | 11159061.58
     831824 | 11158886.27
    1695212 | 11152310.52
    1164848 | 11151421.49
     667340 | 11149647.89
     697248 | 11149473.31
     845289 | 11149134.52
     167472 | 11148733.26
    1228670 | 11142881.48
     611793 | 11139241.34
     236042 | 11139094.80
    1858700 | 11137387.24
     984055 | 11133170.18
     374318 | 11130801.00
     808376 | 11126686.04
     773025 | 11123905.75
    1223443 | 11119993.92
    1041580 | 11118424.63
     608063 | 11115783.08
     217551 | 11110538.50
     773635 | 11109852.62
    1045256 | 11108662.29
     290902 | 11108566.21
     293279 | 11107647.04
     453422 | 11106409.83
     770936 | 11103787.28
    1092683 | 11102199.54
    1491525 | 11100450.66
    1793312 | 11099679.96
     726225 | 11096932.80
      88513 | 11094012.89
     544703 | 11091501.65
     653026 | 11090575.28
     758895 | 11086725.65
    1058658 | 11085016.07
     120500 | 11083414.68
    1088314 | 11079256.54
    1019729 | 11076375.62
    1558015 | 11075024.40
    1764317 | 11073372.72
    1994876 | 11072604.27
    1184405 | 11071955.81
     200982 | 11071601.40
     305814 | 11070467.52
     417379 | 11069872.40
     340953 | 11068509.67
     824053 | 11068080.01
     783931 | 11066573.59
    1990628 | 11066501.05
     820278 | 11065082.16
     841637 | 11061111.48
     845855 | 11056860.37
    1952295 | 11053991.35
     975166 | 11053927.49
    1684396 | 11052727.69
    1106401 | 11052116.05
    1300607 | 11051485.48
     589311 | 11047417.58
     812534 | 11046710.44
     314745 | 11045876.56
     774973 | 11044428.09
    1056269 | 11042600.91
     787821 | 11041117.05
     520281 | 11041108.76
     706121 | 11038355.55
     631084 | 11036754.96
     944763 | 11035694.35
     592621 | 11035365.03
     505159 | 11033325.34
     628744 | 11031682.29
     593265 | 11030208.29
     425346 | 11029255.46
    1134903 | 11028660.24
     705578 | 11027322.50
     478216 | 11027047.39
    1841959 | 11021976.68
     401746 | 11019958.24
    1837757 | 11019092.58
    1145066 | 11018840.48
      32358 | 11017399.78
    1984478 | 11013290.16
     734866 | 11010784.95
    1617693 | 11007493.35
    1769167 | 11003930.48
     840803 | 11003155.06
    1984845 | 10993857.23
     665912 | 10990678.65
    1568635 | 10989980.96
    1776877 | 10989696.58
     825001 | 10989257.14
     834859 | 10986541.40
    1316624 | 10977954.76
     149744 | 10977741.06
     845943 | 10976002.55
    1704297 | 10971765.61
     638053 | 10968845.72
    1743122 | 10968568.73
    1916604 | 10968084.86
    1398890 | 10967694.16
    1263369 | 10967684.40
    1098883 | 10965689.85
    1134787 | 10964449.09
    1484035 | 10964218.74
    1821830 | 10963026.00
     301794 | 10962506.18
    1434729 | 10962259.21
    1716068 | 10961444.65
      62486 | 10960094.89
    1026012 | 10959423.49
    1431648 | 10952568.90
     986411 | 10952191.01
     937130 | 10951750.65
    1178546 | 10946469.24
    1466182 | 10946166.90
     203617 | 10945401.52
    1728810 | 10944335.08
    1271680 | 10942493.60
    1209295 | 10939205.54
    1185345 | 10937971.88
     167725 | 10934324.94
    1826246 | 10933992.70
    1376269 | 10933838.76
     189334 | 10931211.59
    1489457 | 10930529.00
    1375681 | 10923051.70
     473517 | 10922459.43
     925458 | 10921958.94
    1995248 | 10920237.59
    1686442 | 10919187.73
     996088 | 10914850.00
     407938 | 10914346.94
     699995 | 10910456.29
     440404 | 10905276.72
     544502 | 10898823.30
     170607 | 10897124.94
    1053847 | 10895696.80
    1875475 | 10890942.16
     186031 | 10890741.11
     114047 | 10882446.76
     795521 | 10882215.08
    1604912 | 10879973.81
    1084408 | 10879363.74
    1850739 | 10879285.06
     634481 | 10878899.79
       9064 | 10870883.58
     919965 | 10869392.13
     112616 | 10863989.58
     785406 | 10862049.24
    1412334 | 10860103.25
     288284 | 10857818.13
    1067496 | 10855650.45
     578289 | 10855260.12
     842669 | 10855019.55
    1392874 | 10853242.76
     583622 | 10849225.92
     151581 | 10848746.23
    1940434 | 10846467.78
     843359 | 10843367.83
      24148 | 10843223.03
     645468 | 10841178.97
     162832 | 10840332.69
    1367453 | 10840147.60
     543139 | 10839550.83
     912527 | 10836415.53
    1978019 | 10833348.19
    1534548 | 10830422.80
    1353592 | 10830300.74
     999978 | 10822044.46
     416600 | 10821184.62
     395615 | 10820111.42
     759388 | 10812515.81
     350789 | 10811731.41
     291608 | 10806507.75
    1312205 | 10805727.21
     988713 | 10801324.68
    1163889 | 10799939.31
    1745610 | 10799012.07
    1740752 | 10798566.55
     881521 | 10793233.77
    1810621 | 10792755.11
    1607263 | 10789173.96
     798642 | 10788328.47
    1328658 | 10786169.94
     389742 | 10779244.71
    1156525 | 10778396.88
    1676184 | 10774384.91
     862624 | 10772706.39
     900449 | 10772219.28
    1335837 | 10770621.56
    1347311 | 10767763.74
    1509882 | 10765736.28
    1029104 | 10762411.70
    1164294 | 10761294.72
    1681958 | 10761096.12
    1071457 | 10759435.44
     429161 | 10759358.16
    1617653 | 10755547.68
    1178412 | 10752957.12
      83385 | 10751902.60
     935488 | 10750777.95
    1591000 | 10750424.80
     361511 | 10742918.72
    1494776 | 10736227.62
    1292823 | 10734938.24
    1572982 | 10734909.68
    1485446 | 10734617.15
     958367 | 10727934.06
    1626295 | 10727434.72
       8024 | 10725479.34
     288871 | 10724305.54
     201187 | 10722137.04
    1701555 | 10720381.19
     638841 | 10718351.05
    1522833 | 10714897.29
    1035606 | 10712048.45
     976139 | 10711330.71
     847041 | 10710705.56
    1703804 | 10710200.86
    1000918 | 10706339.62
    1729381 | 10704816.37
    1688843 | 10704184.32
    1013376 | 10700881.77
     792361 | 10695567.43
    1515467 | 10693632.68
     757299 | 10692190.56
    1829381 | 10690440.22
     856556 | 10686005.89
     262502 | 10681990.74
     649849 | 10681237.59
     547994 | 10680996.11
    1676900 | 10680322.19
     215244 | 10680136.72
    1750961 | 10674824.81
    1625315 | 10670095.02
     382286 | 10669820.94
     467459 | 10664504.73
    1784202 | 10662524.01
     113845 | 10656382.70
    1145075 | 10655724.76
     900730 | 10648636.18
    1293023 | 10648144.48
    1563256 | 10644167.04
     362587 | 10639148.92
    1070957 | 10637445.67
    1939640 | 10635424.07
     458075 | 10633448.52
    1369875 | 10632901.34
    1626868 | 10631311.52
     829530 | 10631076.80
    1606794 | 10630404.92
    1683526 | 10629494.66
     631766 | 10624982.50
     474473 | 10624527.04
    1169702 | 10623338.55
     688244 | 10622306.51
    1337489 | 10621327.32
     619741 | 10619886.88
    1645924 | 10617896.49
     110608 | 10614336.21
     218324 | 10614327.29
     417438 | 10608691.74
     951189 | 10608476.49
     843872 | 10606325.07
     159764 | 10603848.12
    1566793 | 10601924.76
     558543 | 10597791.85
     857103 | 10593410.08
    1546854 | 10592616.90
     864452 | 10591933.65
    1458277 | 10589989.14
     134486 | 10586977.88
     408650 | 10582660.72
    1755827 | 10582344.08
    1865745 | 10580741.11
     487534 | 10580126.55
     189659 | 10576949.99
     433385 | 10576157.69
     815017 | 10573095.62
    1975191 | 10572387.57
     320084 | 10567479.32
    1519926 | 10566704.50
     665387 | 10564480.31
    1012090 | 10564133.66
     263282 | 10562520.76
    1083936 | 10558949.30
      51744 | 10558262.73
    1282071 | 10558228.72
       8291 | 10558016.61
     584173 | 10555666.10
     928670 | 10553245.20
     140181 | 10551416.42
    1480386 | 10543444.23
    1988267 | 10542929.58
     695553 | 10537990.56
    1085238 | 10533409.85
    1458206 | 10531620.94
     933949 | 10529839.09
    1550797 | 10529657.52
     868966 | 10527647.46
    1370286 | 10526945.42
    1998866 | 10523155.97
    1195044 | 10520174.39
    1883920 | 10519483.47
    1748795 | 10516729.38
     884719 | 10516583.65
     436261 | 10514913.94
     615583 | 10513030.70
    1616564 | 10510262.46
    1127485 | 10509730.79
    1167560 | 10506930.60
     618059 | 10506923.50
    1253843 | 10498842.53
    1520521 | 10498314.38
    1170499 | 10496899.16
     544648 | 10496193.12
     127362 | 10495510.53
    1841627 | 10495296.21
    1376239 | 10495165.73
     873024 | 10493111.20
    1805999 | 10489494.43
    1383329 | 10488245.16
    1069153 | 10487720.76
     601881 | 10486988.76
     493728 | 10486387.92
     914121 | 10484466.34
     385616 | 10484155.44
    1552999 | 10483582.80
     318949 | 10482597.77
     496203 | 10482089.95
    1712516 | 10481177.20
     814426 | 10480760.95
     368280 | 10479573.34
    1457683 | 10478554.12
     343673 | 10477558.32
     724159 | 10477385.82
    1620273 | 10476799.44
     836823 | 10475412.18
     229097 | 10475317.11
    1865067 | 10471170.15
    1525198 | 10470497.05
    1391563 | 10467922.77
    1945286 | 10466630.07
    1897809 | 10465163.61
    1752547 | 10463435.54
    1129565 | 10463248.77
    1236382 | 10460691.22
    1149572 | 10460469.92
    1748607 | 10460420.57
    1493079 | 10456190.84
    1604082 | 10453903.08
     665174 | 10452640.99
    1385969 | 10451790.00
     396317 | 10447764.02
    1951316 | 10445276.53
    1395392 | 10442485.88
     830078 | 10441148.57
     618517 | 10440344.90
    1760682 | 10438877.94
    1887289 | 10436428.68
    1762545 | 10434037.88
    1054907 | 10434005.86
     643800 | 10433713.79
     564613 | 10429765.93
