BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%dark%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |   sum_profit   
 IRAQ                      |   1992 | 466856681.4906
 JAPAN                     |   1998 | 274448275.9006
 JAPAN                     |   1997 | 466932417.2674
 JAPAN                     |   1996 | 463381430.4989
 JAPAN                     |   1995 | 470568813.2856
 JAPAN                     |   1994 | 468739074.0881
 JAPAN                     |   1993 | 464960746.0236
 JAPAN                     |   1992 | 458554685.2570
 JORDAN                    |   1998 | 268279194.3117
 JORDAN                    |   1997 | 453711793.5334
 JORDAN                    |   1996 | 464049430.1875
 JORDAN                    |   1995 | 457413043.7007
 JORDAN                    |   1994 | 457169796.8205
 JORDAN                    |   1993 | 463516040.2421
 JORDAN                    |   1992 | 464410283.9637
 KENYA                     |   1998 | 280065726.1969
 KENYA                     |   1997 | 473443945.7057
 KENYA                     |   1996 | 475232069.7538
 KENYA                     |   1995 | 472706535.7697
 KENYA                     |   1994 | 477554943.1420
 KENYA                     |   1993 | 486328609.6841
 KENYA                     |   1992 | 475616572.7436
 MOROCCO                   |   1998 | 270740140.1395
 MOROCCO                   |   1997 | 471350594.0778
 MOROCCO                   |   1996 | 475581124.0037
 MOROCCO                   |   1995 | 468022926.5144
 MOROCCO                   |   1994 | 468717044.6489
 MOROCCO                   |   1993 | 466388284.6689
 MOROCCO                   |   1992 | 477342056.5988
 MOZAMBIQUE                |   1998 | 274930114.3740
 MOZAMBIQUE                |   1997 | 458167592.7826
 MOZAMBIQUE                |   1996 | 465025455.5507
 MOZAMBIQUE                |   1995 | 462547975.5172
 MOZAMBIQUE                |   1994 | 463103579.1485
 MOZAMBIQUE                |   1993 | 452574004.0909
 MOZAMBIQUE                |   1992 | 457340626.8603
 PERU                      |   1998 | 271609274.7732
 PERU                      |   1997 | 474639767.3746
 PERU                      |   1996 | 463452228.3155
 PERU                      |   1995 | 468742647.8916
 PERU                      |   1994 | 461061151.3348
 PERU                      |   1993 | 468546461.6356
 PERU                      |   1992 | 470703173.1381
 ROMANIA                   |   1998 | 272266149.0522
 ROMANIA                   |   1997 | 468011594.7485
 ROMANIA                   |   1996 | 465198691.9635
 ROMANIA                   |   1995 | 462384158.9251
 ROMANIA                   |   1994 | 470577272.8710
 ROMANIA                   |   1993 | 461569376.8328
 ROMANIA                   |   1992 | 465576684.3604
 RUSSIA                    |   1998 | 276426180.5891
 RUSSIA                    |   1997 | 459943242.7206
 RUSSIA                    |   1996 | 469446546.3558
 RUSSIA                    |   1995 | 461596902.3475
 RUSSIA                    |   1994 | 461877587.8155
 RUSSIA                    |   1993 | 460579584.0117
 RUSSIA                    |   1992 | 470682370.7145
 SAUDI ARABIA              |   1998 | 282058825.2227
 SAUDI ARABIA              |   1997 | 471720755.7607
 SAUDI ARABIA              |   1996 | 479039732.4120
 SAUDI ARABIA              |   1995 | 483803767.6558
 SAUDI ARABIA              |   1994 | 474417506.5827
 SAUDI ARABIA              |   1993 | 480712672.9951
 SAUDI ARABIA              |   1992 | 482867693.6672
 UNITED KINGDOM            |   1998 | 267158728.5042
 UNITED KINGDOM            |   1997 | 463694231.7319
 UNITED KINGDOM            |   1996 | 461862262.2285
 UNITED KINGDOM            |   1995 | 451927872.8840
 UNITED KINGDOM            |   1994 | 455560215.6679
 UNITED KINGDOM            |   1993 | 459555619.7756
 UNITED KINGDOM            |   1992 | 464458270.0625
 UNITED STATES             |   1998 | 272010714.4235
 UNITED STATES             |   1997 | 473953763.9704
 UNITED STATES             |   1996 | 469520471.1641
 UNITED STATES             |   1995 | 469048602.1466
 UNITED STATES             |   1994 | 479534991.3109
 UNITED STATES             |   1993 | 470720217.0671
 UNITED STATES             |   1992 | 472747797.9446
 VIETNAM                   |   1998 | 271193310.1974
 VIETNAM                   |   1997 | 465092936.7374
 VIETNAM                   |   1996 | 469416954.9658
 VIETNAM                   |   1995 | 463375050.2799
 VIETNAM                   |   1994 | 462122089.1812
 VIETNAM                   |   1993 | 459527281.6245
 VIETNAM                   |   1992 | 458846178.8327
(175 rows)

COMMIT;
COMMIT
