ctime,datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
1683036457.621591,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036517.617286,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036517.617286,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036517.617286,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:08:37.619193-07,2023-05-02 07:08:37.6195-07,2023-05-02 07:08:37.619501-07,,,active,34013146,34013140,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036517.617286,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:08:37.619876-07,2023-05-02 07:08:37.619876-07,2023-05-02 07:08:37.619889-07,,,idle in transaction,,,,BEGIN,client backend
1683036517.617286,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:08:37.612192-07,2023-05-02 07:08:37.612509-07,2023-05-02 07:08:37.612509-07,,,active,34013144,34013140,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036517.617286,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:08:37.615709-07,2023-05-02 07:08:37.616407-07,2023-05-02 07:08:37.616408-07,IO,WALSync,active,34013145,,,COMMIT,client backend
1683036517.617286,22501,dbt2,3955,,10,postgres,psql,::1,,55734,2023-05-02 07:08:37.578436-07,2023-05-02 07:08:37.617286-07,2023-05-02 07:08:37.617286-07,2023-05-02 07:08:37.617287-07,,,active,,34013140,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036517.617286,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036517.617286,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036517.617286,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036577.653754,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036577.653754,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036577.653754,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:09:37.645257-07,2023-05-02 07:09:37.648808-07,2023-05-02 07:09:37.648809-07,IO,WALSync,active,34032123,,,COMMIT,client backend
1683036577.653754,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:09:37.650754-07,2023-05-02 07:09:37.651596-07,2023-05-02 07:09:37.651597-07,LWLock,WALWrite,active,34032124,,,COMMIT,client backend
1683036577.653754,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:09:37.644381-07,2023-05-02 07:09:37.647007-07,2023-05-02 07:09:37.647008-07,LWLock,WALWrite,active,34032122,,,COMMIT,client backend
1683036577.653754,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:09:37.643802-07,2023-05-02 07:09:37.644549-07,2023-05-02 07:09:37.644549-07,LWLock,WALWrite,active,34032121,,,COMMIT,client backend
1683036577.653754,22501,dbt2,3966,,10,postgres,psql,::1,,35604,2023-05-02 07:09:37.578858-07,2023-05-02 07:09:37.653754-07,2023-05-02 07:09:37.653754-07,2023-05-02 07:09:37.653756-07,,,active,,34032121,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036577.653754,22501,dbt2,3967,,10,postgres,psql,::1,,35614,2023-05-02 07:09:37.589876-07,2023-05-02 07:09:37.655542-07,2023-05-02 07:09:37.655542-07,2023-05-02 07:09:37.655544-07,,,active,,34032121,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime,
datname, nspname, relname, pg_locks.*
FROM pg_locks, pg_class, pg_namespace, pg_database
WHERE relfilenode = relation
  AND relnamespace = pg_namespace.oid
  AND database = pg_database.oid
  AND current_database() = datname
ORDER BY relname) TO STDOUT (FORMAT CSV);",client backend
1683036577.653754,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036577.653754,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1683036577.653754,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036637.605313,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036637.605313,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036637.605313,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:10:37.605844-07,2023-05-02 07:10:37.612783-07,2023-05-02 07:10:37.612784-07,LWLock,WALWrite,active,34055951,,,COMMIT,client backend
1683036637.605313,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:10:37.610454-07,2023-05-02 07:10:37.611162-07,2023-05-02 07:10:37.611162-07,,,active,34055953,34055949,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036637.605313,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:10:37.60211-07,2023-05-02 07:10:37.607486-07,2023-05-02 07:10:37.607487-07,IO,WALSync,active,34055949,,,COMMIT,client backend
1683036637.605313,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:10:37.608237-07,2023-05-02 07:10:37.608454-07,2023-05-02 07:10:37.608454-07,Lock,transactionid,active,34055952,34055948,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036637.605313,22501,dbt2,3985,,10,postgres,psql,::1,,44226,2023-05-02 07:10:37.587987-07,,,2023-05-02 07:10:37.60551-07,Client,ClientRead,idle,,,,"",client backend
1683036637.605313,22501,dbt2,3984,,10,postgres,psql,::1,,44214,2023-05-02 07:10:37.587855-07,2023-05-02 07:10:37.606328-07,2023-05-02 07:10:37.606328-07,2023-05-02 07:10:37.606329-07,,,active,,34055948,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_all_indexes a, pg_statio_all_indexes b
WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",client backend
1683036637.605313,22501,dbt2,3982,,10,postgres,psql,::1,,44204,2023-05-02 07:10:37.581776-07,2023-05-02 07:10:37.605313-07,2023-05-02 07:10:37.605313-07,2023-05-02 07:10:37.605315-07,,,active,,34055946,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036637.605313,22501,dbt2,3983,,10,postgres,psql,::1,,44212,2023-05-02 07:10:37.579092-07,2023-05-02 07:10:37.612994-07,2023-05-02 07:10:37.612994-07,2023-05-02 07:10:37.612995-07,,,active,,34055949,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_database) TO STDOUT (FORMAT CSV);",client backend
1683036637.605313,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036637.605313,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036637.605313,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,LWLock,WALWrite,,,,,"",walwriter
1683036697.603916,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036697.603916,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036697.603916,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:11:37.596747-07,2023-05-02 07:11:37.604663-07,2023-05-02 07:11:37.604664-07,IO,WALSync,active,34079068,,,COMMIT,client backend
1683036697.603916,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:11:37.603467-07,2023-05-02 07:11:37.603749-07,2023-05-02 07:11:37.603749-07,Lock,transactionid,active,34079069,34079066,,"SELECT * FROM payment($1, $2, $3, $4, $5, $6, $7)",client backend
1683036697.603916,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:11:37.608831-07,2023-05-02 07:11:37.609005-07,2023-05-02 07:11:37.609005-07,,,active,34079070,34079067,,"SELECT * FROM delivery($1, $2)",client backend
1683036697.603916,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:11:37.596165-07,2023-05-02 07:11:37.59995-07,2023-05-02 07:11:37.599951-07,LWLock,WALWrite,active,34079067,,,COMMIT,client backend
1683036697.603916,22501,dbt2,3996,,10,postgres,psql,::1,,39228,2023-05-02 07:11:37.590823-07,2023-05-02 07:11:37.603916-07,2023-05-02 07:11:37.603916-07,2023-05-02 07:11:37.603917-07,,,active,,34079066,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036697.603916,22501,dbt2,3997,,10,postgres,psql,::1,,39242,2023-05-02 07:11:37.589833-07,2023-05-02 07:11:37.607585-07,2023-05-02 07:11:37.607585-07,2023-05-02 07:11:37.607587-07,,,active,,34079066,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_database) TO STDOUT (FORMAT CSV);",client backend
1683036697.603916,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036697.603916,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036697.603916,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036757.633145,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036757.633145,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036757.633145,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:12:37.635658-07,2023-05-02 07:12:37.635955-07,2023-05-02 07:12:37.635956-07,,,active,34103797,34103794,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036757.633145,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:12:37.630865-07,2023-05-02 07:12:37.631578-07,2023-05-02 07:12:37.631578-07,LWLock,WALWrite,active,34103795,,,COMMIT,client backend
1683036757.633145,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:12:37.635654-07,2023-05-02 07:12:37.636332-07,2023-05-02 07:12:37.636332-07,IO,WALSync,active,34103796,,,COMMIT,client backend
1683036757.633145,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:12:37.627903-07,2023-05-02 07:12:37.633959-07,2023-05-02 07:12:37.63396-07,LWLock,WALWrite,active,34103794,,,COMMIT,client backend
1683036757.633145,22501,dbt2,4012,,10,postgres,psql,::1,,37376,2023-05-02 07:12:37.590516-07,2023-05-02 07:12:37.633145-07,2023-05-02 07:12:37.633145-07,2023-05-02 07:12:37.633146-07,,,active,,34103792,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036757.633145,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036757.633145,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036757.633145,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036817.679514,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036817.679514,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036817.679514,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:13:37.67614-07,2023-05-02 07:13:37.67937-07,2023-05-02 07:13:37.679371-07,IO,WALSync,active,34127392,,,COMMIT,client backend
1683036817.679514,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:13:37.679819-07,2023-05-02 07:13:37.680261-07,2023-05-02 07:13:37.680262-07,Lock,transactionid,active,34127394,34127391,,"SELECT * FROM new_order($1, $2, $3, $4, $5, ($6, $7, $8), ($9, $10, $11), ($12, $13, $14), ($15, $16, $17), ($18, $19, $20), ($21, $22, $23), ($24, $25, $26), ($27, $28, $29), ($30, $31, $32), ($33, $34, $35), ($36, $37, $38), ($39, $40, $41), ($42, $43, $44), ($45, $46, $47), ($48, $49, $50))",client backend
1683036817.679514,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:13:37.672391-07,2023-05-02 07:13:37.679977-07,2023-05-02 07:13:37.679978-07,LWLock,WALWrite,active,34127391,,,COMMIT,client backend
1683036817.679514,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:13:37.679553-07,2023-05-02 07:13:37.681336-07,2023-05-02 07:13:37.681337-07,LWLock,WALWrite,active,34127393,,,COMMIT,client backend
1683036817.679514,22501,dbt2,4026,,10,postgres,psql,::1,,55792,2023-05-02 07:13:37.602698-07,2023-05-02 07:13:37.679514-07,2023-05-02 07:13:37.679514-07,2023-05-02 07:13:37.679516-07,,,active,,34127391,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036817.679514,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036817.679514,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036817.679514,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036877.719326,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036877.719326,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036877.719326,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:14:37.709472-07,2023-05-02 07:14:37.711214-07,2023-05-02 07:14:37.711215-07,IO,WALSync,active,34151362,,,COMMIT,client backend
1683036877.719326,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:14:37.712724-07,2023-05-02 07:14:37.71659-07,2023-05-02 07:14:37.716591-07,LWLock,WALWrite,active,34151364,,,COMMIT,client backend
1683036877.719326,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:14:37.712724-07,2023-05-02 07:14:37.713347-07,2023-05-02 07:14:37.713347-07,LWLock,WALWrite,active,34151363,,,COMMIT,client backend
1683036877.719326,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:14:37.700597-07,2023-05-02 07:14:37.713347-07,2023-05-02 07:14:37.713348-07,LWLock,WALWrite,active,34151359,,,COMMIT,client backend
1683036877.719326,22501,dbt2,4041,,10,postgres,psql,::1,,46510,2023-05-02 07:14:37.614944-07,2023-05-02 07:14:37.719326-07,2023-05-02 07:14:37.719326-07,2023-05-02 07:14:37.719328-07,,,active,,34151359,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036877.719326,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036877.719326,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Timeout,CheckpointWriteDelay,,,,,"",checkpointer
1683036877.719326,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,LWLock,WALWrite,,,,,"",walwriter
1683036937.690176,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036937.690176,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036937.690176,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:15:37.681402-07,2023-05-02 07:15:37.687203-07,2023-05-02 07:15:37.687205-07,IO,WALSync,active,34176063,,,COMMIT,client backend
1683036937.690176,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:15:37.672477-07,2023-05-02 07:15:37.678735-07,2023-05-02 07:15:37.678735-07,LWLock,WALWrite,active,34176059,,,COMMIT,client backend
1683036937.690176,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:15:37.67785-07,2023-05-02 07:15:37.678384-07,2023-05-02 07:15:37.678385-07,LWLock,WALWrite,active,34176062,,,COMMIT,client backend
1683036937.690176,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:15:37.677627-07,2023-05-02 07:15:37.678696-07,2023-05-02 07:15:37.678696-07,,,active,34176061,,,COMMIT,client backend
1683036937.690176,22501,dbt2,4050,,10,postgres,psql,::1,,49906,2023-05-02 07:15:37.616721-07,2023-05-02 07:15:37.665448-07,2023-05-02 07:15:37.665448-07,2023-05-02 07:15:37.665449-07,,,active,,34176055,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_all_indexes a, pg_statio_all_indexes b
WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",client backend
1683036937.690176,22501,dbt2,4052,,10,postgres,psql,::1,,49924,2023-05-02 07:15:37.614416-07,2023-05-02 07:15:37.690176-07,2023-05-02 07:15:37.690176-07,2023-05-02 07:15:37.690177-07,,,active,,34176059,,"COPY (SELECT extract(EPOCH FROM transaction_timestamp()) AS ctime, *
FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",client backend
1683036937.690176,,,2593,,,,"",,,,2023-05-02 07:00:48.612162-07,,,,Activity,BgWriterMain,,,,,"",background writer
1683036937.690176,,,2592,,,,"",,,,2023-05-02 07:00:48.611152-07,,,,Activity,CheckpointerMain,,,,,"",checkpointer
1683036937.690176,,,2594,,,,"",,,,2023-05-02 07:00:48.613192-07,,,,Activity,WalWriterMain,,,,,"",walwriter
1683036997.777874,,,2595,,,,"",,,,2023-05-02 07:00:48.61415-07,,,,Activity,AutoVacuumMain,,,,,"",autovacuum launcher
1683036997.777874,,,2597,,10,postgres,"",,,,2023-05-02 07:00:48.616454-07,,,,Activity,LogicalLauncherMain,,,,,"",logical replication launcher
1683036997.777874,22501,dbt2,3913,,10,postgres,dbt2-client,::1,,54592,2023-05-02 07:06:37.882225-07,2023-05-02 07:16:37.78031-07,2023-05-02 07:16:37.78031-07,2023-05-02 07:16:37.780339-07,Client,ClientRead,idle in transaction,,,,BEGIN,client backend
1683036997.777874,22501,dbt2,3914,,10,postgres,dbt2-client,::1,,54598,2023-05-02 07:06:37.886556-07,2023-05-02 07:16:37.739125-07,2023-05-02 07:16:37.780396-07,2023-05-02 07:16:37.780397-07,LWLock,WALWrite,active,34197577,,,COMMIT,client backend
1683036997.777874,22501,dbt2,3917,,10,postgres,dbt2-client,::1,,54618,2023-05-02 07:06:37.887757-07,2023-05-02 07:16:37.774392-07,2023-05-02 07:16:37.776358-07,2023-05-02 07:16:37.776359-07,LWLock,WALWrite,active,34197579,,,COMMIT,client backend
1683036997.777874,22501,dbt2,3916,,10,postgres,dbt2-client,::1,,54612,2023-05-02 07:06:37.885513-07,2023-05-02 07:16:37.752458-07,2023-05-02 07:16:37.755192-07,2023-05-02 07:16:37.755193-07,IO,WALSync,active,34197578,,,COMMIT,client backend
1683036997.777874,22501,dbt2,4055,,,,"",,,,2023-05-02 07:15:49.371121-07,2023-05-02 07:15:50.323463-07,2023-05-02 07:15:50.323463-07,2023-05-02 07:15:50.323464-07,LWLock,WALWrite,active,,34181247,,autovacuum: VACUUM public.stock,autovacuum worker
